DRUG_CODE,PRODUCT_CATEGORIZATION,CLASS,DRUG_IDENTIFICATION_NUMBER,BRAND_NAME,DESCRIPTOR,PEDIATRIC_FLAG,ACCESSION_NUMBER,NUMBER_OF_AIS,LAST_UPDATE_DATE,AI_GROUP_NO,CLASS_F,BRAND_NAME_F,DESCRIPTOR_F
"19730","","Human","02185415","MEGESTROL","","N","82026","1","25-JAN-2024","0111633001","Humain","",""
"19767","","Human","02182823","LEVODOPA-CARBIDOPA","","N","82063","2","31-MAY-2024","0210315003","Humain","",""
"18350","","Human","02163772","SOTALOL","","N","80579","1","06-FEB-2024","0113778001","Humain","",""
"18416","","Human","02162822","METFORMIN","","N","80674","1","19-JAN-2024","0101773001","Humain","",""
"19799","","Human","02207672","BUSPIRONE","","N","82096","1","23-OCT-2023","0116263001","Humain","",""
"76642","","Human","02280752","PMS-CARBAMAZEPINE CR","","N","","1","16-JUN-2006","0108674004","Humain","",""
"20031","","Human","02211939","DESIPRAMINE","","N","82330","1","23-OCT-2023","0102137004","Humain","",""
"20032","","Human","02211955","DESIPRAMINE","","N","82331","1","23-OCT-2023","0102137003","Humain","",""
"103108","","Veterinary","02542536","BUPRIXA","MULTIDOSE VIAL","N","","1","30-JAN-2024","0142241005","Vétérinaire","","FIOLE MULTIDOSE"
"19814","","Human","02197405","ACYCLOVIR","","N","82111","1","05-FEB-2024","0115506002","Humain","",""
"19815","","Human","02197413","ACYCLOVIR","","N","82112","1","05-FEB-2024","0115506004","Humain","",""
"19817","","Human","02200996","SOTALOL","","N","82114","1","06-FEB-2024","0113778002","Humain","",""
"76641","","Human","02280744","PMS-CARBAMAZEPINE CR","","N","","1","16-JUN-2006","0108674001","Humain","",""
"14536","","Human","02040751","APO-CLOMIPRAMINE","","N","76173","1","25-JAN-2024","0109212002","Humain","",""
"14537","","Human","02040778","APO-CLOMIPRAMINE","","N","76174","1","25-JAN-2024","0109212003","Humain","",""
"77579","","Human","02290480","ACETAMINOPHEN EASY SWALLOW","","N","","1","30-MAR-2010","0102009002","Humain","",""
"18760","","Human","02171848","CYCLOBENZAPRINE","","N","81034","1","18-JAN-2024","0112363001","Humain","",""
"81780","","Human","02332132","CIPROFLOXACIN TABLETS","","N","","1","03-SEP-2009","0123207006","Humain","",""
"20260","","Human","02192764","FLUOXETINE","","N","82564","1","24-MAY-2024","0116847001","Humain","",""
"25876","","Disinfectant","02008459","NUGEN S-21","","N","E7773","4","21-DEC-2023","0414758021","Désinfectant","",""
"18848","","Human","02171872","BROMAZEPAM","","N","81128","1","20-JUN-2024","0114488001","Humain","",""
"18849","","Human","02173344","CLONAZEPAM","","N","81129","1","18-JAN-2024","0111558001","Humain","",""
"18850","","Human","02173352","CLONAZEPAM","","N","81130","1","18-JAN-2024","0111558002","Humain","",""
"78231","","Human","02296969","NITETIME COLD RELIEF EXTRA STRENGTH","","N","","4","29-JUN-2007","0451565009","Humain","",""
"18073","","Human","02158590","OXYBUTYNIN","","N","80287","1","06-FEB-2024","0114692001","Humain","",""
"21854","","Disinfectant","01931814","NUGEN R-82","","N","E1514","4","21-DEC-2023","0414758008","Désinfectant","",""
"21855","","Disinfectant","01931822","NUGEN S-18","","N","E1515","4","21-DEC-2023","0414758011","Désinfectant","",""
"44174","","Human","02172585","ZADITEN - DPS 1MG/ML","","N","T9804","1","22-MAR-2016","0115676001","Humain","",""
"50629","","Human","02231322","ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES FARINAE","","N","","1","28-MAY-2015","0123338004","Humain","",""
"50630","","Human","02231323","ALLERGENIC EXTRACT - STANDARDIZED MITE DERMATOPHAGOIDES PTERONYSSINUS","","N","","1","28-MAY-2015","0123337004","Humain","",""
"50712","","Human","02231397","DOM-LITHIUM CARBONATE","","N","","1","18-MAR-2016","0101163001","Humain","",""
"50713","","Human","02231398","DOM-LITHIUM CARBONATE","","N","","1","18-MAR-2016","0101163002","Humain","",""
"50714","","Human","02231399","DOM-LITHIUM CARBONATE","","N","","1","18-MAR-2016","0101163003","Humain","",""
"51152","","Human","02231774","ALKA-PAN TABLETS","","N","","5","30-MAY-2018","0532879001","Humain","",""
"49593","","Human","02230524","DOM-FLUTAMIDE","","N","","1","18-MAR-2016","0116869001","Humain","",""
"20259","","Human","02192756","FLUOXETINE","","N","82563","1","06-FEB-2024","0116847003","Humain","",""
"50826","","Human","02231496","PMS-FENOFIBRATE","","N","","1","18-MAR-2016","0118895002","Humain","",""
"47492","","Human","02229569","MEFENAMIC ACID","","N","","1","28-JUN-2024","0102336001","Humain","",""
"43373","","Human","02223589","TEMAZEPAM","","N","P9704","1","24-OCT-2023","0114415001","Humain","",""
"43375","","Human","02223600","FENOFIBRATE","","N","P9706","1","24-OCT-2023","0118895002","Humain","",""
"48992","CAT IV","Human","02230261","B. KAMINS, CHEMIST BIO-MAPLE DAY CREAM","","N","","2","21-SEP-2003","0216932024","Humain","",""
"48993","CAT IV - SUNBURN PROTECTANTS","Human","02230262","B. KAMINS, CHEMIST BIO-MAPLE DAY LOTION","","N","","1","27-MAR-2017","0116791003","Humain","",""
"49008","","Human","02230273","TRIPACEL","","N","","6","13-JUN-2011","0628682002","Humain","",""
"49052","","Veterinary","02230295","MEGA B","","N","","7","07-DEC-2021","0733120001","Vétérinaire","",""
"51471","","Human","02231965","ETODOLAC","","N","","1","19-JAN-2024","0116345001","Humain","",""
"43060","","Human","02211971","DESIPRAMINE","","N","P9350","1","23-OCT-2023","0102137005","Humain","",""
"51472","","Human","02231967","ETODOLAC","","N","","1","19-JAN-2024","0116345002","Humain","",""
"43287","","Human","02220571","APO-DIPYRIDAMOLE","","N","P9618","1","06-FEB-2024","0106621004","Humain","",""
"43781","","Human","02091372","FLUCONAZOLE TABLETS","","N","S9732","1","19-APR-2024","0122529002","Humain","",""
"43346","","Human","02223139","NORTRIPTYLINE","","N","P9677","1","18-JAN-2024","0102630002","Humain","",""
"50499","","Human","02231192","FLUVOXAMINE","","N","","1","05-FEB-2024","0122450002","Humain","",""
"50500","","Human","02231193","FLUVOXAMINE","","N","","1","05-FEB-2024","0122450001","Humain","",""
"43372","","Human","02223570","TEMAZEPAM","","N","P9703","1","24-OCT-2023","0114415002","Humain","",""
"43782","","Human","02091380","FLUCONAZOLE TABLETS","","N","S9733","1","19-APR-2024","0122529006","Humain","",""
"51278","CAT IV - ANTISEPTIC SKIN CLEANSERS","Human","02231830","SEAQUA X","","N","","1","03-MAY-2019","0107629004","Humain","",""
"43830","","Human","02122197","KETOCONAZOLE","","N","S9857","1","18-JAN-2024","0116793001","Humain","",""
"49572","","Human","02230510","TENOXICAM","","N","","1","22-JAN-2024","0122416001","Humain","",""
"43380","","Human","02223651","ALPHA1-PROTEINASE INHIBITOR (HUMAN)","","N","P9711","1","07-FEB-2012","0120888002","Humain","",""
"82400","","Veterinary","02338386","GERI-TONE","","N","","20","03-APR-2020","2012825001","Vétérinaire","",""
"60517","","Veterinary","02237198","VIRADYNE CREAM","","N","","1","08-DEC-2021","0103970003","Vétérinaire","",""
"50221","","Human","02230943","OXYBUTYNIN SYRUP","","N","","1","06-FEB-2024","0114692002","Humain","",""
"50482","","Human","02231174","FLUOXETINE","","N","","1","24-MAY-2024","0116847002","Humain","",""
"42929","","Human","02189135","THROMBATE III","","N","P9120","1","07-FEB-2012","0124256001","Humain","",""
"49239","","Human","02230400","SOFLAX EX MICRO-ENEMA","","N","","1","23-AUG-2016","0101506003","Humain","",""
"49246","","Human","02230407","CLOPIXOL DEPOT 500MG/ML","","N","","1","08-DEC-2021","0127602002","Humain","",""
"52517","","Veterinary","02233029","2%  IODINE INJECTION","","N","","1","07-DEC-2021","0103970009","Vétérinaire","",""
"52538","","Human","02233047","TERAZOSIN","","N","","1","24-OCT-2023","0136978001","Humain","",""
"52543","","Human","02233048","TERAZOSIN","","N","","1","24-OCT-2023","0136978002","Humain","",""
"52544","","Human","02233049","TERAZOSIN","","N","","1","24-OCT-2023","0136978003","Humain","",""
"52545","","Human","02233050","TERAZOSIN","","N","","1","24-OCT-2023","0136978004","Humain","",""
"50430","LS - VIT. SUPPLEMENTS/MIN SUPPLEMENTS","Human","02231123","ONCOVITE","","N","","13","22-FEB-2020","1332985001","Humain","",""
"50139","","Human","02230865","WHITE-FACED HORNET VENOM PROTEIN MULTIUSE 13.0 ML (1300MCG)","","N","","1","26-JAN-2024","0114084004","Humain","",""
"51032","","Veterinary","02231658","DIPYRONE INJECTION 50%","","N","","1","18-JUL-2022","0103671001","Vétérinaire","",""
"51045","","Human","02231670","DOM-CARBAMAZEPINE","","N","","1","18-MAR-2016","0108674001","Humain","",""
"50864","CAT IV - ANTIDANDRUFF PRODUCTS","Human","02231520","DHS SAL","","N","","1","03-MAY-2023","0102859017","Humain","",""
"49781","","Human","02230615","DOM-AMOXICILLIN","","N","","1","14-JUN-2010","0131314001","Humain","",""
"49791","","Human","02230618","DOM-AMOXICILLIN","","N","","1","14-JUN-2010","0131314003","Humain","",""
"102990","CAT IV - SUNBURN PROTECTANTS","Human","02541254","BRIGHT REVEAL SPF50+","","N","","4","25-MAR-2024","0451521048","Humain","BRIGHT REVEAL FPS50+",""
"50884","","Human","02231541","PMS-CARBAMAZEPINE","","N","","1","08-SEP-2006","0108674001","Humain","",""
"50888","","Human","02231546","PMS-METOPROLOL-L SR","","N","","1","09-MAR-2003","0111923003","Humain","",""
