DRUG_CODE,ACTIVE_INGREDIENT_CODE,INGREDIENT,INGREDIENT_SUPPLIED_IND,STRENGTH,STRENGTH_UNIT,STRENGTH_TYPE,DOSAGE_VALUE,BASE,DOSAGE_UNIT,NOTES,INGREDIENT_F,STRENGTH_UNIT_F,STRENGTH_TYPE_F,DOSAGE_UNIT_F
"100003","6343","PRAMOXINE HYDROCHLORIDE","I","1","%","","","N","W/V","","Chlorhydrate de pramoxine","%","","p/v"
"100003","6353","ZINC ACETATE","I","0.1","%","","","N","W/V","","Acétate de Zinc","%","","p/v"
"100013","6506","HYDROXYCHLOROQUINE SULFATE","I","200","MG","","","N","","","Sulfate d'hydroxychloroquine","MG","",""
"100019","13585","ESCITALOPRAM (ESCITALOPRAM OXALATE)","I","10","MG","","","N","","","Escitalopram (Oxalate d'escitalopram)","MG","",""
"100020","13585","ESCITALOPRAM (ESCITALOPRAM OXALATE)","I","20","MG","","","N","","","Escitalopram (Oxalate d'escitalopram)","MG","",""
"100022","10258","PHENYLEPHRINE HYDROCHLORIDE","I","0.25","%","","","N","W/W","","Chlorhydrate de phényléphrine","%","","p/p"
"100028","20163","PALIPERIDONE","I","9","MG","","","N","","","Palipéridone","MG","",""
"100032","13356","ADALIMUMAB","I","10","MG","","0.2","N","ML","","Adalimumab","MG","","ML"
"100033","13356","ADALIMUMAB","I","40","MG","","0.8","N","ML","","Adalimumab","MG","","ML"
"100034","7128","HYDROGEN PEROXIDE","I","1.4","%","","","N","W/W","","Peroxyde d'hydrogène","%","","p/p"
"100047","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100047","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100058","21236","OFATUMUMAB","I","20","MG","","0.4","N","ML","","Ofatumumab","MG","","ML"
"100067","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100067","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100068","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100068","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100069","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.425","%","","","N","W/W","CAS #85409-23-0","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100069","197","BENZALKONIUM CHLORIDE","I","0.425","%","","","N","W/W","CAS #68391-01-5","Chlorure de benzalkonium","%","","p/p"
"100069","8881","ISOPROPYL ALCOHOL","I","12.25","%","","","N","W/W","CAS# 67-63-0","Alcool isopropylique","%","","p/p"
"100069","8890","ALCOHOL ANHYDROUS","I","7.75","%","","","N","W/W","CAS #64-17-5","ALCOOL ANHYDRE","%","","p/p"
"100070","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100070","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100072","2730","DIDECYL DIMETHYL AMMONIUM CHLORIDE","I","4.5","%","","","N","W/W","","Chlorure de didécyl-diméthyl ammonium","%","","p/p"
"100073","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.425","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100073","197","BENZALKONIUM CHLORIDE","I","0.425","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100073","8881","ISOPROPYL ALCOHOL","I","12.25","%","","","N","W/W","","Alcool isopropylique","%","","p/p"
"100073","8890","ALCOHOL ANHYDROUS","I","7.75","%","","","N","W/W","","ALCOOL ANHYDRE","%","","p/p"
"100076","12094","INFLIXIMAB","I","120","MG","","","N","ML","","Infliximab","MG","","ML"
"100091","20161","DAPTOMYCIN","I","500","MG","","","N","VIAL","","Daptomycine","MG","","Fiole"
"100092","197","BENZALKONIUM CHLORIDE","I","0.13","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
"100095","196","ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure d'alkyl diméthyl éthylbenzyl ammonium","%","","p/p"
"100095","197","BENZALKONIUM CHLORIDE","I","0.15","%","","","N","W/W","","Chlorure de benzalkonium","%","","p/p"
