DRUG_CODE,ROUTE_OF_ADMINISTRATION_CODE,ROUTE_OF_ADMINISTRATION,ROUTE_OF_ADMINISTRATION_F
"18073","56","ORAL","Orale"
"25876","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"25876","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"25882","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"21854","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"21855","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"18350","56","ORAL","Orale"
"14535","56","ORAL","Orale"
"14536","56","ORAL","Orale"
"14537","56","ORAL","Orale"
"18416","56","ORAL","Orale"
"18760","56","ORAL","Orale"
"18846","56","ORAL","Orale"
"18847","56","ORAL","Orale"
"18848","56","ORAL","Orale"
"18849","56","ORAL","Orale"
"18850","56","ORAL","Orale"
"20000","56","ORAL","Orale"
"20031","56","ORAL","Orale"
"20032","56","ORAL","Orale"
"20033","56","ORAL","Orale"
"65698","56","ORAL","Orale"
"65699","56","ORAL","Orale"
"20259","56","ORAL","Orale"
"20260","56","ORAL","Orale"
"63794","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63794","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"43287","56","ORAL","Orale"
"61189","56","ORAL","Orale"
"63076","56","ORAL","Orale"
"63096","56","ORAL","Orale"
"63097","56","ORAL","Orale"
"66186","56","ORAL","Orale"
"50712","56","ORAL","Orale"
"50713","56","ORAL","Orale"
"50714","56","ORAL","Orale"
"63318","56","ORAL","Orale"
"51919","56","ORAL","Orale"
"60695","56","ORAL","Orale"
"60709","70","TOPICAL","Topique"
"48052","70","TOPICAL","Topique"
"60871","56","ORAL","Orale"
"60872","56","ORAL","Orale"
"60873","56","ORAL","Orale"
"60874","56","ORAL","Orale"
"60898","56","ORAL","Orale"
"60952","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"60952","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"43346","56","ORAL","Orale"
"43347","56","ORAL","Orale"
"43348","56","ORAL","Orale"
"43372","56","ORAL","Orale"
"43373","56","ORAL","Orale"
"43375","56","ORAL","Orale"
"43380","49","INTRAVENOUS","Intraveineuse"
"66742","56","ORAL","Orale"
"66743","56","ORAL","Orale"
"61453","56","ORAL","Orale"
"62003","53","NASAL","Nasale"
"63364","70","TOPICAL","Topique"
"61552","56","ORAL","Orale"
"50826","56","ORAL","Orale"
"50864","70","TOPICAL","Topique"
"50884","56","ORAL","Orale"
"50888","56","ORAL","Orale"
"50889","56","ORAL","Orale"
"70975","56","ORAL","Orale"
"71084","56","ORAL","Orale"
"60955","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"60955","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"60994","56","ORAL","Orale"
"60995","56","ORAL","Orale"
"60996","56","ORAL","Orale"
"60997","56","ORAL","Orale"
"50629","18","INTRACUTANEOUS","Intracutanée"
"50629","65","SUBCUTANEOUS","Sous-cutanée"
"50630","18","INTRACUTANEOUS","Intracutanée"
"50630","65","SUBCUTANEOUS","Sous-cutanée"
"61054","56","ORAL","Orale"
"61668","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"61668","30","DISINFECTANT (Medical Instruments)","Désinfectant (Instruments médicaux)"
"62148","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"62148","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"62213","73","UDDER WASH","Nettoyage du pis"
"51006","56","ORAL","Orale"
"61731","56","ORAL","Orale"
"70799","56","ORAL","Orale"
"50221","56","ORAL","Orale"
"51032","22","INTRAMUSCULAR","Intramusculaire"
"51032","49","INTRAVENOUS","Intraveineuse"
"51045","56","ORAL","Orale"
"63453","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"50430","56","ORAL","Orale"
"71189","56","ORAL","Orale"
"70283","56","ORAL","Orale"
"70241","56","ORAL","Orale"
"62993","56","ORAL","Orale"
"62994","56","ORAL","Orale"
"62995","56","ORAL","Orale"
"63057","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63057","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63058","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63058","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63061","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63061","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63063","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63063","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63064","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63064","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63065","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63566","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"63566","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63574","70","TOPICAL","Topique"
"47422","56","ORAL","Orale"
"47492","56","ORAL","Orale"
"63065","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"66132","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"66132","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"63675","56","ORAL","Orale"
"50482","56","ORAL","Orale"
"66456","18","INTRACUTANEOUS","Intracutanée"
"66456","65","SUBCUTANEOUS","Sous-cutanée"
"66460","18","INTRACUTANEOUS","Intracutanée"
"66460","65","SUBCUTANEOUS","Sous-cutanée"
"66462","18","INTRACUTANEOUS","Intracutanée"
"66462","65","SUBCUTANEOUS","Sous-cutanée"
"66464","18","INTRACUTANEOUS","Intracutanée"
"66464","65","SUBCUTANEOUS","Sous-cutanée"
"43021","56","ORAL","Orale"
"43060","56","ORAL","Orale"
"50499","56","ORAL","Orale"
"50500","56","ORAL","Orale"
"50562","56","ORAL","Orale"
"62874","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"62874","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"62875","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"62875","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"62876","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"62876","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"70387","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70402","56","ORAL","Orale"
"66545","57","OTIC","Otique"
"70424","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70439","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70440","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"70446","55","OPHTHALMIC","Ophtalmique"
"60517","70","TOPICAL","Topique"
"69700","56","ORAL","Orale"
"69709","70","TOPICAL","Topique"
"69715","56","ORAL","Orale"
"62400","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"62400","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64896","29","INHALATION","Inhalation"
"64896","70","TOPICAL","Topique"
"60652","70","TOPICAL","Topique"
"60652","56","ORAL","Orale"
"64541","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"64541","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64545","65","SUBCUTANEOUS","Sous-cutanée"
"64545","49","INTRAVENOUS","Intraveineuse"
"64545","22","INTRAMUSCULAR","Intramusculaire"
"43771","56","ORAL","Orale"
"43781","56","ORAL","Orale"
"43782","56","ORAL","Orale"
"43830","56","ORAL","Orale"
"50139","65","SUBCUTANEOUS","Sous-cutanée"
"71434","56","ORAL","Orale"
"52517","65","SUBCUTANEOUS","Sous-cutanée"
"52538","56","ORAL","Orale"
"52543","56","ORAL","Orale"
"52544","56","ORAL","Orale"
"52545","56","ORAL","Orale"
"59933","56","ORAL","Orale"
"60032","70","TOPICAL","Topique"
"60044","56","ORAL","Orale"
"60045","56","ORAL","Orale"
"71442","56","ORAL","Orale"
"71443","56","ORAL","Orale"
"71444","56","ORAL","Orale"
"71445","56","ORAL","Orale"
"71447","93","DISINFECTANT (Domestic)","Désinfectant (Usage domestique)"
"71447","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64772","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64772","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"43968","22","INTRAMUSCULAR","Intramusculaire"
"43968","49","INTRAVENOUS","Intraveineuse"
"43968","65","SUBCUTANEOUS","Sous-cutanée"
"64849","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"64850","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"64851","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"19730","56","ORAL","Orale"
"19731","56","ORAL","Orale"
"19758","56","ORAL","Orale"
"19766","56","ORAL","Orale"
"19767","56","ORAL","Orale"
"19799","56","ORAL","Orale"
"19814","56","ORAL","Orale"
"19815","56","ORAL","Orale"
"19816","56","ORAL","Orale"
"19817","56","ORAL","Orale"
"64848","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64849","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64850","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"64851","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"61781","56","ORAL","Orale"
"61803","9","DISINFECTANT (Hospital/HC Facilities)","Désinfectant (Hôpitaux, établissements de soins de santé)"
"61803","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"51278","70","TOPICAL","Topique"
"71447","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
"71449","8","DISINFECTANT (Food Premises)","Désinfectant (Lieux de transformation alimetaire)"
